Journal Name,JIF 2024
CA A CANCER JOURNAL FOR CLINICIANS,232.4
NATURE REVIEWS MICROBIOLOGY,103.3
NATURE REVIEWS DRUG DISCOVERY,101.8
NATURE REVIEWS MOLECULAR CELL BIOLOGY,90.2
KIDNEY INTERNATIONAL SUPPLEMENTS,89.6
LANCET,88.5
NATURE REVIEWS MATERIALS,86.2
NATURE REVIEWS CLINICAL ONCOLOGY,82.2
NEW ENGLAND JOURNAL OF MEDICINE,78.5
NATURE REVIEWS EARTH and ENVIRONMENT,71.5
NATURE REVIEWS CANCER,66.8
WORLD PSYCHIATRY,65.8
ANNALS OF ONCOLOGY,65.4
LIVING REVIEWS IN RELATIVITY,62.5
NATURE REVIEWS IMMUNOLOGY,60.9
NATURE REVIEWS DISEASE PRIMERS,60.6
MMWR RECOMMENDATIONS AND REPORTS,60.1
NATURE ENERGY,60.1
NATURE REVIEWS METHODS PRIMERS,56
CHEMICAL REVIEWS,55.8
JAMA JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,55
SIGNAL TRANSDUCTION AND TARGETED THERAPY,52.7
NATURE REVIEWS GENETICS,52
NATURE REVIEWS CHEMISTRY,51.7
NATURE REVIEWS GASTROENTEROLOGY and HEPATOLOGY,51
NATURE MEDICINE,50
MMWR SURVEILLANCE SUMMARIES,49.8
NATURE,48.5
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,46.7
SCIENCE,45.8
LANCET NEUROLOGY,45.5
REVIEWS OF MODERN PHYSICS,44.8
NATURE CATALYSIS,44.6
CANCER CELL,44.5
NATURE REVIEWS CARDIOLOGY,44.2
BMJ BRITISH MEDICAL JOURNAL,42.7
CELL,42.5
JOURNAL OF CLINICAL ONCOLOGY,41.9
LANCET DIABETES and ENDOCRINOLOGY,41.8
NATURE BIOTECHNOLOGY,41.7
NATURE ELECTRONICS,40.9
JOURNAL OF HEMATOLOGY and ONCOLOGY,40.4
NATURE REVIEWS ENDOCRINOLOGY,40
PROGRESS IN MATERIALS SCIENCE,40
NATURE REVIEWS NEPHROLOGY,39.8
NATURE REVIEWS PHYSICS,39.5
CHEMICAL SOCIETY REVIEWS,39
CIRCULATION,38.6
LANCET GASTROENTEROLOGY and HEPATOLOGY,38.6
NATURE MATERIALS,38.5
NATURE REVIEWS BIOENGINEERING,37.6
REVIEWS OF GEOPHYSICS,37.3
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,37
ESCIENCE,36.6
NANO MICRO LETTERS,36.3
ELECTROCHEMICAL ENERGY REVIEWS,36.3
LANCET ONCOLOGY,35.9
EUROPEAN HEART JOURNAL,35.6
JOULE,35.4
NATURE NANOTECHNOLOGY,34.9
ANNUAL REVIEW OF PATHOLOGY MECHANISMS OF DISEASE,34.5
MOLECULAR CANCER,33.9
CANCER DISCOVERY,33.3
ANNUAL REVIEW OF IMMUNOLOGY,33.3
IMETA,33.2
NATURE REVIEWS NEUROLOGY,33.1
JOURNAL OF HEPATOLOGY,33
NATURE PHOTONICS,32.9
LANCET RESPIRATORY MEDICINE,32.8
NATURE REVIEWS RHEUMATOLOGY,32.7
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,32.5
NATURE METHODS,32.1
ELIGHT,32.1
INTERDISCIPLINARY MATERIALS,31.6
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,31.1
LANCET INFECTIOUS DISEASES,31
CELL METABOLISM,30.9
ENERGY and ENVIRONMENTAL SCIENCE,30.8
ANNUAL REVIEW OF CONDENSED MATTER PHYSICS,30.7
ANNUAL REVIEW OF FLUID MECHANICS,30.2
PHYSICS REPORTS REVIEW SECTION OF PHYSICS LETTERS,29.5
ANNUAL REVIEW OF PSYCHOLOGY,29.4
NATURE GENETICS,29
PHYSIOLOGICAL REVIEWS,28.7
NATURE CANCER,28.5
ACM COMPUTING SURVEYS,28
NATURE IMMUNOLOGY,27.6
LIVING REVIEWS IN SOLAR PHYSICS,27.6
